2023-12-20 02:40:41,238 - logs - INFO - Starting UDP server
2023-12-20 02:40:49,469 - logs - INFO - sih.gov.in.---('117.250.140.42', 25815)---20.204.13.165
2023-12-20 02:41:11,987 - logs - INFO - huggingface.co.---('117.250.140.42', 22342)---205.251.199.163
2023-12-20 02:45:36,626 - logs - INFO - youtube.com.---('117.250.140.42', 33176)---172.253.63.136
2023-12-20 02:45:44,895 - logs - INFO - namecheap.com.---('117.250.140.42', 60872)---198.54.117.250
2023-12-20 02:45:52,944 - logs - INFO - cloudflare.com.---('117.250.140.42', 18508)---104.16.133.229
2023-12-20 02:45:52,971 - logs - INFO - tmall.com.---('117.250.140.42', 22522)---59.82.122.115
2023-12-20 02:45:53,382 - logs - INFO - sina.com.cn.---('117.250.140.42', 31665)---36.51.254.91
2023-12-20 02:45:53,666 - logs - INFO - vk.com.---('117.250.140.42', 8894)---93.186.238.238
2023-12-20 02:45:53,913 - logs - INFO - yahoo.com.---('117.250.140.42', 27622)---74.6.231.21
2023-12-20 02:45:54,210 - logs - INFO - baidu.com.---('117.250.140.42', 55013)---39.156.66.10
2023-12-20 02:45:54,211 - logs - INFO - facebook.com.---('117.250.140.42', 36302)---157.240.229.35
2023-12-20 02:45:54,211 - logs - INFO - google.com.---('117.250.140.42', 17527)---142.251.163.113
2023-12-20 02:46:10,237 - logs - INFO - taobao.com.---('117.250.140.42', 58246)---59.82.122.115
2023-12-20 02:46:10,406 - logs - INFO - google.com.br.---('117.250.140.42', 53784)---216.239.32.10
2023-12-20 02:46:10,434 - logs - INFO - wikipedia.org.---('117.250.140.42', 38224)---208.80.154.224
2023-12-20 02:46:10,476 - logs - INFO - google.co.in.---('117.250.140.42', 14436)---216.239.38.10
2023-12-20 02:46:12,517 - logs - INFO - 360.cn.---('117.250.140.42', 44039)---'NXDOMAIN'
2023-12-20 02:46:12,570 - logs - INFO - reddit.com.---('117.250.140.42', 54089)---151.101.65.140
2023-12-20 02:46:12,783 - logs - INFO - google.co.jp.---('117.250.140.42', 14203)---216.239.36.10
2023-12-20 02:46:12,815 - logs - INFO - amazon.com.---('117.250.140.42', 14271)---205.251.242.103
2023-12-20 02:46:12,849 - logs - INFO - twitter.com.---('117.250.140.42', 17003)---204.74.111.101
2023-12-20 02:46:12,922 - logs - INFO - google.com.mx.---('117.250.140.42', 57937)---142.251.163.94
2023-12-20 02:46:12,928 - logs - INFO - google.ca.---('117.250.140.42', 22105)---142.251.167.94
2023-12-20 02:46:13,329 - logs - INFO - google.com.tw.---('117.250.140.42', 41221)---172.253.62.94
2023-12-20 03:52:48,813 - logs - INFO - Malicious domain from ---('106.213.155.24', 4714) --- for 1453.groovinews.com.
2023-12-20 02:46:13,538 - logs - INFO - sohu.com.---('117.250.140.42', 28396)---61.135.164.50
2023-12-20 02:46:13,868 - logs - INFO - jd.com.---('117.250.140.42', 36409)---111.13.149.108
2023-12-20 02:46:13,869 - logs - INFO - instagram.com.---('117.250.140.42', 11452)---157.240.229.174
2023-12-20 02:46:14,137 - logs - INFO - yandex.ru.---('117.250.140.42', 34411)---5.255.255.77
2023-12-20 02:46:14,268 - logs - INFO - google.ru.---('117.250.140.42', 57442)---172.253.63.94
2023-12-20 02:46:14,311 - logs - INFO - google.co.uk.---('117.250.140.42', 2101)---216.239.34.10
2023-12-20 02:46:14,324 - logs - INFO - google.fr.---('117.250.140.42', 16087)---142.251.167.94
2023-12-20 02:46:14,465 - logs - INFO - google.com.tr.---('117.250.140.42', 64792)---172.253.122.94
2023-12-20 02:46:14,695 - logs - INFO - google.com.hk.---('117.250.140.42', 19861)---172.253.115.94
2023-12-20 02:46:14,933 - logs - INFO - google.co.kr.---('117.250.140.42', 47045)---172.253.63.94
2023-12-20 02:46:15,097 - logs - INFO - google.be.---('117.250.140.42', 42150)---172.253.62.94
2023-12-20 02:46:15,128 - logs - INFO - google.co.id.---('117.250.140.42', 27117)---142.251.167.94
2023-12-20 02:46:15,135 - logs - INFO - google.com.au.---('117.250.140.42', 26912)---172.253.63.94
2023-12-20 02:46:15,438 - logs - INFO - google.com.bd.---('117.250.140.42', 62853)---172.253.62.94
2023-12-20 02:46:15,556 - logs - INFO - google.com.ua.---('117.250.140.42', 30034)---172.253.122.94
2023-12-20 03:52:48,815 - logs - INFO - Malicious domain from ---('106.213.155.24', 4713) --- for com.122.207.net.
2023-12-20 02:46:15,724 - logs - INFO - google.com.ar.---('117.250.140.42', 33642)---142.251.167.94
2023-12-20 02:46:15,738 - logs - INFO - google.com.sa.---('117.250.140.42', 16741)---172.253.122.94
2023-12-20 02:46:15,863 - logs - INFO - google.com.eg.---('117.250.140.42', 4613)---216.239.34.10
2023-12-20 02:46:15,936 - logs - INFO - google.com.eg.---('117.250.140.42', 60071)---216.239.38.10
2023-12-20 02:46:16,252 - logs - INFO - google.com.vn.---('117.250.140.42', 60072)---172.253.63.94
2023-12-20 02:46:16,290 - logs - INFO - google.com.pk.---('117.250.140.42', 19239)---172.253.122.94
2023-12-20 02:46:16,618 - logs - INFO - google.com.ng.---('117.250.140.42', 4599)---142.251.16.94
2023-12-20 02:46:16,761 - logs - INFO - google.com.gr.---('117.250.140.42', 21036)---172.253.62.94
2023-12-20 02:46:16,779 - logs - INFO - google.com.ph.---('117.250.140.42', 41329)---142.250.31.94
2023-12-20 02:46:16,814 - logs - INFO - google.com.co.---('117.250.140.42', 56010)---142.251.111.94
2023-12-20 03:52:48,816 - logs - INFO - DGA detected from ---('106.213.155.24', 4716) --- for www.plusfind.info.
2023-12-20 02:46:16,956 - logs - INFO - google.ch.---('117.250.140.42', 14404)---142.251.163.94
2023-12-20 02:46:17,029 - logs - INFO - google.com.ve.---('117.250.140.42', 29159)---172.253.122.103
2023-12-20 02:46:17,043 - logs - INFO - google.com.pe.---('117.250.140.42', 14608)---142.251.111.94
2023-12-20 02:46:25,065 - logs - INFO - google.com.sg.---('117.250.140.42', 31538)---172.253.63.94
2023-12-20 02:46:25,220 - logs - INFO - google.cl.---('117.250.140.42', 17572)---142.251.163.94
2023-12-20 02:46:25,221 - logs - INFO - google.com.gr.---('117.250.140.42', 28007)---172.253.62.94
2023-12-20 02:46:25,221 - logs - INFO - google.com.ng.---('117.250.140.42', 47710)---142.251.16.94
2023-12-20 02:46:25,221 - logs - INFO - google.com.co.---('117.250.140.42', 47129)---142.251.111.94
2023-12-20 02:46:25,222 - logs - INFO - google.com.ve.---('117.250.140.42', 8329)---172.253.122.103
2023-12-20 02:46:25,222 - logs - INFO - google.com.bd.---('117.250.140.42', 63676)---172.253.62.94
2023-12-20 02:46:25,222 - logs - INFO - google.com.ng.---('117.250.140.42', 5065)---142.251.16.94
2023-12-20 02:46:25,224 - logs - INFO - google.com.pe.---('117.250.140.42', 48725)---142.251.111.94
2023-12-20 02:46:25,224 - logs - INFO - google.cl.---('117.250.140.42', 54087)---142.251.163.94
2023-12-20 02:46:25,225 - logs - INFO - google.com.bd.---('117.250.140.42', 40362)---172.253.62.94
2023-12-20 02:46:25,226 - logs - INFO - google.cl.---('117.250.140.42', 22028)---142.251.163.94
2023-12-20 02:46:25,226 - logs - INFO - google.com.pe.---('117.250.140.42', 56949)---142.251.111.94
2023-12-20 02:46:25,399 - logs - INFO - google.com.eg.---('117.250.140.42', 26441)---216.239.32.10
2023-12-20 02:46:25,400 - logs - INFO - google.ch.---('117.250.140.42', 32517)---142.251.163.94
2023-12-20 02:46:25,400 - logs - INFO - google.com.ve.---('117.250.140.42', 56142)---172.253.122.103
2023-12-20 02:46:25,401 - logs - INFO - google.com.bd.---('117.250.140.42', 18657)---172.253.62.94
2023-12-20 02:46:25,401 - logs - INFO - google.com.gr.---('117.250.140.42', 43714)---172.253.62.94
2023-12-20 02:46:25,401 - logs - INFO - google.com.ve.---('117.250.140.42', 44390)---172.253.122.103
2023-12-20 02:46:25,402 - logs - INFO - google.com.co.---('117.250.140.42', 28537)---142.251.111.94
2023-12-20 02:46:25,402 - logs - INFO - google.com.gr.---('117.250.140.42', 35470)---172.253.62.94
2023-12-20 02:46:25,403 - logs - INFO - google.ch.---('117.250.140.42', 17585)---142.251.163.94
2023-12-20 03:52:48,819 - logs - INFO - Malicious domain from --- ('106.213.155.24', 4715) --- for btmi.blogspot.com.
2023-12-20 03:52:48,820 - logs - INFO - Malicious domain from --- ('106.213.155.24', 4717) --- for doingneedleworkdeep.com.
2023-12-20 02:46:25,404 - logs - INFO - google.com.sg.---('117.250.140.42', 42676)---172.253.63.94
2023-12-20 02:46:25,404 - logs - INFO - google.cl.---('117.250.140.42', 16004)---142.251.163.94
2023-12-20 02:46:25,578 - logs - INFO - google.com.eg.---('117.250.140.42', 3459)---172.253.63.94
2023-12-20 02:46:25,578 - logs - INFO - google.com.sg.---('117.250.140.42', 55344)---172.253.63.94
2023-12-20 02:46:25,579 - logs - INFO - google.com.co.---('117.250.140.42', 19530)---142.251.111.94
2023-12-20 02:46:25,579 - logs - INFO - google.com.pe.---('117.250.140.42', 25512)---142.251.111.94
2023-12-20 02:46:25,579 - logs - INFO - google.com.ng.---('117.250.140.42', 41760)---142.251.16.94
2023-12-20 02:46:25,580 - logs - INFO - google.ch.---('117.250.140.42', 14660)---142.251.163.94
